# x	y	u	g	r	i	z
0	0	0.0204	-0.0092	-0.0008	-0.0089	-0.0442
1	0	0.0964	0.0021	-0.0372	0.0044	0.0379
2	0	-0.0747	0.0021	-0.0060	-0.0355	0.0790
3	0	0.0108	0.0059	0.0044	0.0110	-0.4136
4	0	0.0108	-0.0092	-0.0060	0.0044	0.0379
5	0	0.0013	-0.0130	-0.0008	0.0377	-0.1675
6	0	-0.0367	-0.0130	-0.0320	-0.0155	-0.0853
7	0	0.0108	-0.0281	0.0305	-0.0222	0.2432
8	0	0.0108	-0.0017	-0.0268	-0.0089	0.2842
9	0	0.0108	0.0210	0.0356	-0.0355	0.0379
10	0	0.0109	0.0097	-0.0268	0.0775	-0.4136
11	0	0.0108	-0.0054	0.0201	-0.0355	-0.1262
12	0	-0.0462	0.0097	0.0148	0.0310	0.0790
13	0	0.0584	0.0059	0.0044	0.0310	-0.0032
14	0	-0.0272	-0.0092	0.0096	0.0110	-0.2495
15	0	-0.0367	0.0134	-0.0008	0.0576	-0.4136
16	0	-0.0082	0.0021	0.0409	-0.0022	0.0790
17	0	-0.0082	-0.0130	-0.0008	0.0110	-0.0032
18	0	0.0204	-0.0017	-0.0164	0.0177	0.1200
19	0	-0.0652	-0.0092	0.0148	-0.0022	-0.2085
20	0	0.0014	-0.0092	-0.0216	0.0510	-0.4546
21	0	-0.0177	-0.0281	-0.0060	-0.0022	-0.2085
22	0	0.0299	0.0134	0.0148	0.0841	-0.4546
23	0	0.0774	0.0134	0.0044	0.0443	0.4482
24	0	0.0394	0.0059	-0.0320	-0.0155	0.2021
25	0	0.0014	-0.0054	-0.0216	0.0044	0.0790
26	0	0.0204	-0.0168	-0.0216	-0.0355	0.1200
27	0	-0.0081	0.0097	0.0148	-0.0554	-0.4136
28	0	0.0109	-0.0092	0.0356	-0.0288	0.2432
29	0	0.0109	-0.0054	-0.0164	0.0509	-0.3726
30	0	0.0014	-0.0168	-0.0060	0.0177	0.3252
31	0	0.1250	-0.0281	-0.0112	0.0377	0.1200
32	0	0.0584	0.0134	0.0200	0.0044	0.0379
33	0	-0.0461	-0.0205	-0.0320	0.0310	-0.3315
34	0	-0.0557	-0.0130	0.0044	0.0377	-0.0443
35	0	0.0109	0.0097	0.0096	0.0443	-0.0853
36	0	-0.0272	0.0097	0.0096	-0.0155	0.1200
37	0	-0.0367	0.0021	-0.0268	-0.0288	-0.1265
38	0	0.0204	-0.0130	0.0044	0.0110	-0.0853
39	0	-0.0367	0.0248	-0.0112	-0.0022	0.2432
40	0	0.0584	0.0059	0.0252	-0.0288	-0.0853
41	0	0.0014	-0.0130	-0.0268	0.0576	0.2021
42	0	-0.0081	-0.0168	-0.0060	-0.0022	-0.0853
43	0	0.0394	-0.0017	0.0565	-0.0355	0.0790
44	0	-0.1316	-0.0281	0.0148	0.0842	0.2432
45	0	0.0109	0.0059	0.0669	0.0044	0.1200
46	0	-0.0557	-0.0205	0.0825	0.0709	0.0790
47	0	-0.0461	-0.0168	0.1136	0.0709	-0.0443
48	0	0.0109	-0.0054	0.1294	0.0310	0.0790
49	0	-0.0176	0.0097	0.1241	0.0310	0.2021
50	0	0.0583	0.0097	0.1241	0.0044	0.2842
51	0	-0.0176	0.0097	0.1033	0.0509	0.0379
52	0	0.0394	0.0134	0.0096	0.0310	-0.0032
53	0	-0.0652	0.0361	0.0616	0.0443	0.0379
54	0	-0.0461	0.0059	0.0565	-0.0022	-0.0443
55	0	-0.0272	-0.0168	0.0252	0.0377	0.3252
56	0	0.0394	0.0210	0.0252	0.0244	0.1611
57	0	-0.0842	-0.0054	0.0044	-0.0222	-0.0853
58	0	0.0204	0.0134	0.0096	-0.0288	-0.0443
59	0	0.0679	0.0134	-0.0060	-0.0155	-0.0032
60	0	-0.0272	0.0134	0.0044	0.0177	0.5312
61	0	0.0014	0.0059	-0.0008	-0.0155	-0.1265
62	0	0.0014	0.0210	0.0356	-0.0022	-0.0032
63	0	-0.0081	-0.0017	0.0513	-0.0155	-0.0032
64	0	0.0014	-0.0130	-0.0008	0.0443	-0.1265
65	0	-0.0747	0.0021	-0.0320	-0.0421	0.2021
66	0	-0.0272	0.0172	0.0252	0.0376	0.0790
67	0	0.0394	0.0059	0.0616	-0.0355	-0.0853
68	0	0.0108	0.0059	-0.0112	-0.0421	0.0379
69	0	0.0298	0.0210	0.0513	0.0044	-0.1265
70	0	0.0774	0.0323	-0.0268	-0.0222	0.2021
71	0	-0.0272	-0.0017	-0.0268	-0.0089	-0.3730
72	0	-0.0652	0.0210	0.0356	-0.0554	0.4487
73	0	0.0869	0.0248	0.0096	-0.0421	-0.2910
74	0	-0.0272	-0.0017	0.0408	0.0310	0.2434
