# x	y	u	g	r	i	z
0	0	-0.0087	0.0135	0.0421	-0.0434	-0.0228
1	0	-0.0182	0.0285	0.0265	-0.0500	0.0184
2	0	0.0483	-0.0015	0.0005	0.0296	-0.1051
3	0	0.0008	0.0098	0.0265	-0.0102	-0.0638
4	0	0.0008	0.0173	-0.0306	-0.0168	-0.1875
5	0	-0.0087	0.0173	-0.0202	0.0164	0.3066
6	0	0.0008	0.0060	-0.0254	-0.0102	-0.1050
7	0	0.0483	0.0173	0.0472	0.0562	0.3477
8	0	-0.0372	-0.0203	0.0109	0.0296	-0.1873
9	0	0.0008	-0.0090	0.0265	0.0097	0.1007
10	0	0.0389	-0.0053	0.0109	-0.0301	0.0596
11	0	-0.0182	-0.0090	-0.0098	0.0629	0.0185
12	0	0.0389	-0.0053	-0.0098	-0.0234	-0.0227
13	0	0.0008	-0.0053	0.0057	0.0828	-0.1873
14	0	0.0008	-0.0165	-0.0046	-0.0367	-0.3931
15	0	0.0103	0.0172	0.0005	0.0363	0.3887
16	0	0.0008	0.0172	0.0161	0.0031	-0.1049
17	0	0.0294	0.0248	0.0057	-0.0035	0.3062
18	0	-0.0372	-0.0165	0.0369	-0.0168	0.0596
19	0	0.0484	0.0060	0.0109	0.0429	-0.3105
20	0	-0.0182	0.0323	0.0005	0.0760	0.0185
21	0	0.0294	0.0022	0.0005	0.0164	-0.1049
22	0	0.0769	-0.0053	0.0213	0.0164	-0.0226
23	0	0.1053	-0.0165	-0.0150	0.0695	0.1418
24	0	0.0389	0.0060	0.0265	0.0363	0.0596
25	0	0.0959	0.0435	0.0161	0.0562	0.0185
26	0	-0.0087	0.0060	0.0265	-0.0433	-0.0637
27	0	0.0199	0.0060	-0.0046	0.0627	-0.0226
28	0	-0.0182	-0.0015	0.0265	0.0363	-0.2280
29	0	-0.0752	-0.0090	0.0369	-0.0234	-0.1870
30	0	0.0769	0.0060	0.0420	-0.0499	0.0596
31	0	0.0199	0.0022	-0.0098	-0.0698	0.0185
32	0	-0.0942	0.0172	0.0006	-0.0168	0.1829
33	0	-0.0467	-0.0015	0.0161	-0.0035	-0.1047
34	0	-0.0276	0.0172	0.0213	-0.0168	-0.1458
35	0	0.0674	-0.0015	-0.0098	0.0363	0.1418
36	0	0.0389	0.0060	0.0057	0.0828	0.2651
37	0	-0.0657	0.0022	0.0109	0.0695	-0.0226
38	0	0.0104	0.0060	0.0369	0.0629	0.1007
39	0	0.1149	0.0285	-0.0046	0.0496	-0.0636
40	0	0.0959	-0.0090	0.0161	0.0429	0.1416
41	0	-0.0467	0.0060	0.0524	0.0031	-0.1046
42	0	0.0104	-0.0015	0.0472	0.0562	0.1007
43	0	-0.0466	-0.0053	0.0627	0.0695	0.2651
44	0	0.0199	0.0247	0.0420	0.0164	0.0596
45	0	0.0294	0.0060	0.0524	0.0496	0.3062
46	0	0.0674	0.0098	0.0576	0.0629	-0.0636
47	0	-0.0657	0.0285	0.0627	0.0031	-0.1458
48	0	-0.0181	0.0172	0.1301	0.0562	0.1416
49	0	-0.0086	0.0285	0.0731	0.0562	-0.1046
50	0	0.0009	0.0135	0.0524	0.0429	0.3882
51	0	-0.0467	0.0247	0.0939	0.0629	0.3472
52	0	-0.0657	0.0285	0.1146	0.0496	0.1007
53	0	0.0864	0.0172	0.1924	0.0031	-0.1868
54	0	0.0389	-0.0165	0.2651	0.0760	0.2651
55	0	0.0009	0.0060	0.2080	0.0828	-0.0636
56	0	-0.0466	0.0435	0.1560	0.1025	0.2651
57	0	-0.0181	0.0022	0.1094	0.0760	0.0596
58	0	0.0579	0.0210	0.1042	0.0363	0.1007
59	0	-0.0276	0.0060	0.0886	0.1224	0.0186
60	0	-0.0276	0.0210	0.0627	0.0363	0.0596
61	0	0.0294	0.0360	0.0680	0.0562	0.1418
62	0	0.0579	0.0135	0.0990	0.0164	-0.0225
63	0	0.0294	0.0247	0.0109	0.0429	0.1007
64	0	-0.0276	0.0547	0.0369	0.1292	0.0596
65	0	0.0484	0.0285	0.0576	0.0760	0.1007
66	0	-0.0276	-0.0053	0.0369	0.0429	0.1418
67	0	-0.0752	0.0247	0.0109	0.1224	-0.1046
68	0	-0.0752	0.0135	0.0213	0.0031	-0.1046
69	0	-0.0657	0.0135	-0.0098	-0.0035	-0.0225
70	0	0.0864	0.0210	0.0369	0.0562	0.1829
71	0	0.0294	0.0247	0.0161	0.1158	-0.0636
72	0	0.0485	0.0060	0.0058	0.0760	0.0186
73	0	-0.0371	0.0172	0.0161	0.0496	-0.2690
74	0	-0.0371	0.0172	0.0109	-0.0035	0.0597
75	0	0.0199	0.0247	-0.0357	0.0695	-0.1868
76	0	0.0485	0.0022	0.0524	0.0828	0.2241
77	0	-0.0562	-0.0015	0.0057	-0.0499	0.1829
78	0	-0.0657	0.0247	0.0265	0.0164	0.0597
79	0	0.0770	0.0135	-0.0046	-0.0499	0.0597
80	0	-0.0752	-0.0165	0.0680	0.0760	0.6348
81	0	0.0294	-0.0015	0.0369	0.0695	0.1418
82	0	0.0675	-0.0015	0.0161	0.0296	0.3062
83	0	0.0104	-0.0053	0.0265	0.0031	0.0186
84	0	0.0199	0.0060	0.0317	0.0429	0.4297
85	0	0.0485	0.0285	0.0057	-0.0035	0.4707
86	0	-0.0371	0.0360	0.0161	0.0230	-0.1870
87	0	-0.0181	-0.0015	0.0213	0.0627	-0.1047
88	0	-0.0181	0.0172	0.0109	0.0230	0.3062
89	0	-0.0847	-0.0128	-0.0046	0.0097	0.0186
90	0	0.0294	0.0135	0.0006	0.0230	0.0597
91	0	0.0675	0.0435	0.0680	0.0097	-0.1047
92	0	0.0009	0.0097	0.0213	0.0363	0.1008
93	0	0.0104	0.0022	0.0057	0.0562	-0.0225
94	0	0.0961	0.0172	0.0472	0.0495	-0.0225
95	0	0.0199	-0.0053	0.0057	0.0695	0.1831
96	0	-0.0086	0.0060	0.0161	0.0429	-0.1047
97	0	0.0389	0.0135	0.0057	-0.0499	0.1831
98	0	0.0485	0.0435	0.0421	0.0296	0.6768
99	0	0.0009	0.0022	0.0161	0.0031	0.3887
100	0	0.0389	0.0060	-0.0047	0.1025	0.2656
101	0	0.0199	-0.0015	0.0317	-0.0234	0.3477
102	0	0.0580	-0.0090	-0.0358	0.0826	0.0598
103	0	-0.1038	0.0097	-0.0202	0.0562	0.1008
104	0	-0.0086	0.0247	0.0213	0.0296	-0.1049
105	0	0.0104	0.0172	0.0161	0.0230	0.1831
106	0	0.0200	0.0060	0.0369	0.0230	-0.1049
107	0	0.0294	-0.0091	0.0524	0.0495	0.4712
108	0	-0.0562	0.0097	0.0524	-0.0102	-0.0225
109	0	-0.0466	0.0022	0.0005	-0.0301	0.0186
110	0	-0.0276	0.0097	0.0472	0.0230	0.0598
111	0	-0.0276	0.0210	0.0317	0.0428	0.0598
112	0	-0.0466	0.0285	-0.0254	0.0296	-0.1049
113	0	0.0009	0.0060	0.0524	0.0428	0.1010
114	0	0.0009	0.0435	0.0265	-0.0367	0.1421
115	0	0.0009	0.0285	0.0109	0.0760	-0.2283
116	0	-0.0086	0.0172	0.0161	0.0561	0.1010
117	0	0.0390	-0.0053	0.0265	0.0561	0.0598
118	0	0.0200	0.0210	0.0213	0.0097	-0.1049
119	0	-0.0086	0.0172	0.0472	-0.0301	-0.1049
120	0	0.0961	0.0285	0.0109	0.0296	0.0186
121	0	-0.0657	-0.0016	0.0472	0.0760	-0.1460
122	0	-0.0086	-0.0053	0.0161	0.0892	0.0186
123	0	0.1056	-0.0091	0.0524	-0.0235	-0.0226
124	0	-0.0276	0.0060	0.0109	0.0362	0.5127
125	0	-0.0371	0.0135	0.0265	-0.0168	0.1421
126	0	0.0580	0.0247	0.0005	0.0229	-0.1460
127	0	0.0009	-0.0091	-0.0099	0.0296	0.1831
128	0	-0.0181	0.0097	-0.0047	-0.1096	0.4302
129	0	-0.0657	0.0022	0.0109	0.0030	-0.1460
130	0	-0.1321	0.0323	0.0161	-0.0367	0.1010
131	0	0.0200	0.0323	0.0109	0.0693	0.2656
132	0	-0.0181	-0.0279	-0.0151	-0.0168	0.0186
133	0	-0.0276	-0.0091	0.0576	0.0163	-0.2283
134	0	0.0104	0.0247	0.0057	0.0362	-0.1873
135	0	0.0294	0.0210	0.0109	-0.0632	0.1421
136	0	0.0200	0.0022	0.0109	0.0295	0.0598
137	0	0.1056	-0.0129	-0.0047	0.0428	-0.1873
138	0	-0.0276	-0.0129	0.0213	0.0097	0.0598
139	0	-0.0181	0.0323	0.0057	0.0163	0.1831
140	0	0.0389	0.0022	0.0317	-0.0036	-0.3521
141	0	0.0200	-0.0053	0.0213	0.0494	-0.2283
142	0	-0.0181	0.0210	0.0265	0.0826	0.3066
143	0	-0.0181	0.0360	0.0317	0.0229	0.1831
144	0	-0.0276	0.0360	0.0317	0.0096	-0.1460
145	0	-0.0276	0.0322	-0.0151	-0.0302	-0.0637
146	0	-0.0276	0.0172	0.0317	0.0295	-0.2695
147	0	-0.0276	-0.0091	-0.0255	0.0362	0.1010
148	0	-0.0562	-0.0016	0.0317	0.0163	0.1421
149	0	0.0675	0.0172	-0.0255	-0.0103	-0.0637
150	0	-0.0846	0.0097	-0.0463	-0.0302	0.1010
151	0	0.0199	0.0134	0.0005	0.0494	-0.3105
152	0	0.0864	0.0022	0.0576	-0.0634	0.0186
153	0	0.0389	0.0360	0.0108	0.0958	0.2656
154	0	0.0580	-0.0016	0.0161	0.1024	0.1833
155	0	0.0389	0.0059	0.0316	0.0295	0.0186
156	0	0.0104	-0.0091	0.0212	0.0162	-0.2285
157	0	0.0009	0.0398	-0.0151	0.0030	-0.0226
158	0	-0.0276	0.0022	0.0108	-0.0037	0.1010
159	0	0.0579	-0.0204	-0.0359	-0.0169	-0.2285
160	0	-0.0466	-0.0279	0.0004	-0.0103	-0.2285
161	0	0.0864	0.0059	0.0472	0.0427	0.0186
162	0	0.0580	0.0022	0.0368	0.0030	-0.0226
163	0	0.0009	0.0059	-0.0255	-0.0501	-0.0637
164	0	0.0579	0.0097	0.0004	0.0030	0.1831
165	0	-0.0181	0.0134	0.0368	0.0361	-0.0226
166	0	0.0579	-0.0054	-0.0048	-0.0435	-0.1050
167	0	-0.0276	0.0134	0.0524	-0.0699	-0.0637
168	0	0.0580	-0.0016	0.0004	-0.0898	0.1008
169	0	0.0104	-0.0280	-0.0100	-0.0369	0.2656
170	0	0.0389	0.0021	0.0004	0.0029	0.1421
171	0	0.0104	0.0435	0.0368	0.0560	-0.1460
172	0	0.0389	0.0059	-0.0048	0.0361	-0.0226
173	0	-0.0370	-0.0167	-0.0359	-0.0236	0.3066
174	0	0.0009	0.0097	-0.0152	0.0295	-0.0226
175	0	0.0294	0.0097	-0.0152	-0.0170	0.1831
176	0	0.0104	0.0021	-0.0048	0.0361	-0.1050
177	0	0.0104	-0.0091	0.0368	0.0294	-0.0638
178	0	-0.0561	-0.0054	0.0004	0.0294	0.2244
179	0	0.0009	0.0247	0.0264	0.0361	0.0597
180	0	-0.0276	0.0134	0.0264	0.0692	0.0186
181	0	-0.0371	0.0021	0.0212	-0.0037	-0.0638
182	0	0.0009	-0.0317	-0.0256	-0.0037	-0.1873
183	0	0.0389	-0.0129	0.0212	0.0162	0.3477
184	0	0.0009	-0.0054	0.0316	0.0361	0.1421
185	0	-0.0751	-0.0129	0.0004	-0.0833	-0.0638
186	0	0.0104	0.0359	0.0056	0.0493	-0.1050
187	0	-0.0086	0.0284	0.0056	-0.0037	-0.2285
188	0	-0.0370	-0.0016	0.0004	0.0891	-0.0638
189	0	-0.0276	-0.0092	0.0316	0.0228	0.0185
190	0	-0.0466	0.0172	0.0264	-0.0104	-0.1050
191	0	0.1053	0.0096	0.0264	0.0626	-0.1460
192	0	0.0389	0.0359	0.0004	-0.0568	-0.1050
