# x	y	u	g	r	i	z
0	0	-0.0371	-0.0208	0.0045	0.0604	0.3008
1	0	-0.0181	-0.0208	0.0201	-0.0192	0.1772
2	0	0.0294	0.0320	0.0670	0.0007	-0.0281
3	0	-0.0656	0.0056	-0.0163	0.0206	0.0541
4	0	0.0199	-0.0322	-0.0111	0.0140	-0.2334
5	0	-0.0656	-0.0057	0.0202	-0.0325	0.5879
6	0	0.0483	0.0434	0.0150	-0.0060	0.0952
7	0	-0.0371	-0.0057	0.0150	-0.0060	-0.2334
8	0	-0.0656	-0.0170	0.0358	-0.0126	0.0130
9	0	-0.0276	0.0018	-0.0007	-0.0524	0.0952
10	0	0.0579	-0.0208	-0.0007	-0.0790	-0.2334
11	0	0.0009	-0.0170	-0.0267	0.0206	0.1365
12	0	-0.0086	-0.0019	-0.0163	-0.0126	-0.0280
13	0	-0.0371	0.0094	0.0045	-0.0259	-0.1924
14	0	-0.0276	0.0207	0.0150	-0.0192	0.2185
15	0	-0.0561	0.0245	0.0358	0.0073	0.1362
16	0	-0.0561	-0.0019	0.0254	0.0737	-0.5205
17	0	0.0483	-0.0019	-0.0319	-0.0192	0.0542
18	0	0.0104	0.0169	0.0254	-0.0059	0.5879
19	0	-0.0656	-0.0057	-0.0319	-0.0059	-0.1101
20	0	-0.0656	0.0207	-0.0267	-0.0258	0.3008
21	0	-0.0846	0.0094	0.0202	-0.0126	0.4648
22	0	-0.0466	-0.0057	-0.0267	-0.0724	0.0131
23	0	-0.0561	0.0094	-0.0111	-0.0391	-0.1511
24	0	0.0103	-0.0095	-0.0059	-0.0192	0.0131
25	0	-0.0656	0.0170	0.0306	0.0007	-0.1511
26	0	0.0388	0.0019	0.0045	0.0074	-0.2334
27	0	-0.0276	-0.0019	-0.0319	-0.1056	0.0542
28	0	0.0579	-0.0095	-0.0163	0.0539	-0.0690
29	0	0.1243	-0.0019	-0.0111	0.0406	0.0953
30	0	0.0578	0.0094	0.0358	0.0804	0.2185
31	0	-0.0087	0.0132	-0.0059	-0.0325	0.0543
32	0	0.0008	-0.0057	0.0462	0.0339	-0.2334
33	0	0.0103	-0.0057	0.0254	-0.0059	0.1365
34	0	0.0293	0.0094	0.0046	0.0074	0.0132
35	0	-0.0276	-0.0170	0.0150	-0.0325	0.1775
36	0	-0.0087	0.0132	-0.0059	0.0007	-0.2744
37	0	-0.0182	0.0019	0.0202	-0.0590	0.0953
38	0	-0.0276	0.0019	-0.0215	-0.0125	0.1775
39	0	-0.0087	0.0132	0.0254	0.0007	-0.0279
40	0	-0.0182	-0.0208	0.0046	0.0406	0.0543
41	0	0.0103	0.0283	-0.0215	0.0671	0.1365
42	0	0.0483	-0.0095	0.0202	-0.0059	-0.1921
43	0	0.0483	-0.0057	-0.0215	0.0007	0.3828
44	0	0.0198	-0.0132	0.0150	0.0140	-0.2744
45	0	0.0103	-0.0057	-0.0370	-0.0192	-0.2744
46	0	-0.0372	-0.0057	0.0098	-0.0325	-0.0278
47	0	-0.0466	0.0019	-0.0111	-0.0125	-0.0278
48	0	0.0863	-0.0321	0.0358	0.0539	0.0955
49	0	-0.0087	-0.0057	-0.0111	0.0406	0.2598
50	0	-0.0941	0.0094	-0.0475	0.0207	0.0955
51	0	-0.0466	-0.0057	-0.0059	-0.0590	-0.1921
52	0	0.0388	0.0056	-0.0215	0.0141	-0.1099
53	0	-0.1130	0.0019	0.0202	-0.0458	-0.3564
54	0	0.0388	-0.0057	-0.0111	-0.0125	0.0133
55	0	0.0388	0.0056	-0.0163	-0.0458	-0.1099
56	0	0.0768	-0.0019	0.0254	-0.0524	-0.1099
57	0	0.0008	0.0019	-0.0423	0.0340	0.1775
58	0	-0.0087	0.0132	0.0410	0.0141	0.0133
59	0	0.0388	-0.0057	0.0202	-0.0391	0.1365
60	0	0.0103	0.0019	-0.0215	0.0207	-0.4795
61	0	0.0198	0.0056	-0.0111	0.0673	0.0133
62	0	0.0103	-0.0170	0.0202	0.0141	-0.1509
63	0	-0.0657	-0.0019	-0.0006	0.0207	0.4243
64	0	0.0198	0.0094	-0.0110	-0.0325	0.3828
65	0	0.0103	-0.0170	-0.0059	0.0473	0.2188
66	0	0.0862	0.0019	0.0098	-0.0790	-0.1919
67	0	0.0008	-0.0246	0.0098	-0.0125	0.3418
68	0	0.1147	0.0170	0.0618	0.0406	0.2598
69	0	-0.0657	0.0056	0.0254	-0.0657	0.2188
70	0	0.0388	0.0208	0.0098	-0.0391	-0.2739
71	0	-0.0182	-0.0057	-0.0163	0.0207	-0.2329
72	0	0.0198	0.0056	0.0046	-0.0590	-0.0687
73	0	0.0577	0.0132	-0.0163	0.0074	-0.1099
74	0	-0.0087	-0.0095	0.0098	-0.0258	-0.3564
75	0	0.0577	-0.0208	-0.0059	-0.0258	0.1777
76	0	-0.0562	0.0056	0.0514	0.0008	0.1367
77	0	-0.0466	-0.0095	0.0410	0.0274	-0.1919
78	0	0.0103	-0.0170	0.0358	0.0141	-0.1919
79	0	-0.0277	-0.0284	-0.0370	0.0008	0.2598
