# x	y	u	g	r	i	z
0	0	-0.0470	-0.0170	-0.0259	-0.0108	-0.0613
1	0	0.0482	-0.0320	0.0468	-0.0241	-0.1848
2	0	0.0482	0.0056	0.0000	-0.0174	-0.1025
3	0	0.0101	-0.0132	-0.0104	0.0423	-0.2261
4	0	-0.0470	0.0206	0.0052	-0.0042	0.1445
5	0	0.0577	-0.0170	-0.0363	0.0623	-0.0613
6	0	0.0101	0.0018	-0.0519	-0.0307	0.1034
7	0	-0.0280	0.0282	0.0104	-0.0042	-0.0201
8	0	0.0291	-0.0170	0.0312	-0.0307	-0.0613
9	0	0.0386	-0.0094	-0.0052	0.0091	0.0211
10	0	0.0291	-0.0019	0.0104	0.0025	0.0211
11	0	0.0006	0.0432	-0.0104	0.0091	-0.1436
12	0	-0.0851	0.0094	0.0312	0.0291	-0.0201
13	0	-0.0470	-0.0132	0.0104	0.0424	-0.2258
14	0	0.0386	0.0018	0.0052	0.0357	-0.1024
15	0	-0.0280	0.0018	0.0208	-0.0042	-0.0200
16	0	-0.0851	0.0281	0.0000	0.0490	0.1035
17	0	-0.0185	-0.0057	-0.0416	-0.0174	-0.1023
18	0	0.0006	0.0319	-0.0519	-0.0507	-0.1436
19	0	0.0577	0.0018	0.0156	-0.0108	-0.2258
20	0	-0.0375	0.0094	-0.0208	-0.0374	0.2271
21	0	0.0196	0.0206	0.0571	0.0424	-0.2258
22	0	-0.1136	0.0018	-0.0364	0.0357	0.3096
23	0	-0.0089	0.0131	-0.0312	0.0158	0.0213
24	0	-0.0375	-0.0170	-0.0104	0.0291	0.3506
25	0	0.0482	-0.0057	0.0260	-0.0440	-0.2258
26	0	0.0101	-0.0170	0.0208	0.0291	0.2271
27	0	-0.0660	-0.0094	-0.0156	-0.0041	0.0213
28	0	-0.0185	0.0131	-0.0260	-0.0108	0.2273
29	0	-0.0089	-0.0057	0.0260	0.0291	0.0625
30	0	0.0291	0.0206	-0.0156	0.0557	0.0625
31	0	0.0006	0.0169	0.0415	0.0158	0.1860
32	0	0.0101	0.0018	0.0259	0.0357	-0.1433
33	0	0.0482	0.0169	-0.0156	0.0158	-0.2256
34	0	0.0386	-0.0207	0.0623	-0.0307	-0.0609
35	0	0.0006	0.0206	-0.0260	0.0490	-0.1433
36	0	-0.0280	0.0319	-0.0312	-0.0174	-0.1021
37	0	-0.0185	0.0169	-0.0000	0.0490	0.1450
38	0	-0.0470	-0.0057	0.0104	-0.0240	0.1450
39	0	-0.0185	0.0169	-0.0156	0.0092	-0.2256
40	0	0.1052	0.0056	-0.0312	-0.0108	0.2686
41	0	0.0386	0.0094	-0.0416	0.0224	0.1863
42	0	-0.0280	-0.0170	0.0052	0.0092	-0.1019
43	0	-0.0185	0.0131	-0.0364	-0.0041	-0.2666
44	0	0.0006	0.0206	-0.0208	-0.0041	0.0627
45	0	-0.0090	-0.0132	-0.0208	-0.0240	-0.1843
46	0	0.0291	0.0018	-0.0104	0.0756	0.2686
47	0	-0.0089	-0.0170	0.0104	0.0823	0.1863
48	0	-0.0280	0.0094	0.0052	-0.0041	0.0629
49	0	0.0291	-0.0019	0.0207	0.0291	0.1453
50	0	0.0291	0.0056	-0.0364	-0.0706	0.1041
51	0	0.0767	0.0244	-0.0104	-0.0307	-0.1431
52	0	-0.0375	-0.0057	-0.0572	0.0092	0.3511
53	0	0.0101	0.0094	-0.0364	0.0158	0.1041
54	0	0.0006	0.0056	-0.0000	0.0224	0.2278
55	0	0.0481	0.0018	0.0051	0.0025	-0.1017
56	0	-0.0375	-0.0057	0.0103	0.0025	-0.1017
57	0	-0.0280	-0.0057	-0.0052	0.0291	0.2278
58	0	-0.0280	0.0056	-0.0000	0.0158	-0.3901
59	0	-0.0280	0.0018	0.0051	0.0690	-0.0604
60	0	-0.0185	-0.0170	-0.0104	-0.0041	-0.3076
61	0	-0.0185	0.0056	-0.0208	-0.0374	0.0219
62	0	0.0576	0.0056	0.0311	-0.0174	0.0631
63	0	0.1052	0.0206	0.0207	-0.0374	0.4746
64	0	-0.0089	-0.0019	-0.0520	0.0357	0.3516
65	0	-0.0280	0.0206	0.0207	-0.0041	0.1455
66	0	0.0481	0.0394	-0.0001	-0.0374	-0.0191
67	0	0.0101	0.0056	0.0103	-0.0374	0.0221
68	0	-0.0280	-0.0057	-0.0208	-0.0174	-0.0602
69	0	0.0481	0.0018	-0.0208	0.0424	0.1045
70	0	0.0671	-0.0019	0.0468	-0.0307	0.2690
71	0	0.0386	0.0207	0.0051	-0.0108	-0.3071
72	0	-0.0185	0.0094	-0.0053	-0.0108	-0.1836
73	0	0.0576	0.0018	-0.0313	0.0623	0.2278
74	0	0.0291	-0.0170	-0.0001	-0.0174	0.1458
75	0	-0.0090	-0.0019	0.0051	0.0358	0.1868
76	0	0.0196	0.0169	0.0416	0.0291	-0.1833
77	0	0.0386	-0.0057	0.0051	-0.0041	-0.2246
78	0	-0.0469	-0.0019	-0.0313	-0.0906	-0.0188
79	0	0.1051	-0.0133	-0.0105	0.0291	0.0635
80	0	0.0291	0.0358	-0.0261	-0.0507	-0.1833
81	0	0.0481	-0.0057	-0.0001	0.0092	-0.0187
82	0	0.0765	0.0094	-0.0001	0.0225	0.0224
83	0	0.0480	-0.0057	-0.0001	0.0358	0.1460
84	0	0.0386	-0.0019	-0.0209	0.0092	-0.1421
85	0	0.0196	-0.0095	0.0155	-0.0041	0.1870
86	0	-0.0280	0.0056	-0.0261	0.0424	0.2280
87	0	-0.0375	0.0094	-0.0105	0.0424	-0.3066
88	0	-0.0469	0.0282	-0.0001	0.0291	0.0226
89	0	0.0101	0.0245	0.0259	0.0092	0.1049
90	0	-0.0945	-0.0095	-0.0001	-0.0307	-0.1418
91	0	0.0670	-0.0095	-0.0261	0.0358	0.3105
92	0	-0.0185	0.0132	-0.0053	0.0424	0.1460
93	0	-0.0185	-0.0170	-0.0001	0.0158	0.2695
94	0	-0.0565	0.0131	0.0103	0.0557	-0.1418
