# x	y	u	g	r	i	z
0	0	0.0011	0.0136	-0.0061	0.0708	-0.3320
1	0	-0.0274	-0.0015	-0.0373	-0.0419	-0.2090
2	0	-0.0845	0.0022	0.0148	-0.0552	-0.0036
3	0	0.0867	-0.0167	-0.0061	0.0178	0.1606
4	0	0.0296	0.0287	-0.0269	0.0045	-0.2910
5	0	0.0201	-0.0280	-0.0061	-0.0353	-0.1680
6	0	-0.0560	-0.0016	-0.0269	-0.0618	-0.2500
7	0	-0.0179	0.0060	-0.0321	0.0377	-0.1267
8	0	0.0201	-0.0053	-0.0061	-0.0154	0.0374
9	0	0.0582	-0.0091	-0.0009	-0.0420	0.1606
10	0	-0.0274	-0.0091	-0.0113	-0.0221	0.0785
11	0	-0.0369	0.0098	0.0043	-0.0088	0.2837
12	0	-0.0560	0.0211	-0.0113	-0.0088	-0.2500
13	0	0.0486	-0.0129	0.0824	0.0177	0.2427
14	0	0.0011	0.0022	-0.0009	0.0045	0.1604
15	0	0.0296	-0.0091	-0.0269	-0.0221	0.1195
16	0	-0.0084	-0.0204	-0.0269	0.0045	0.1195
17	0	0.0011	0.0135	0.0095	0.0377	-0.1680
18	0	0.0487	0.0098	0.0043	-0.0154	-0.2090
19	0	-0.0845	0.0287	-0.0113	0.0111	-0.0037
20	0	-0.0465	0.0060	-0.0113	-0.0022	0.0374
21	0	-0.0370	0.0060	0.0147	-0.0353	0.1195
22	0	0.1152	0.0022	-0.0061	-0.0353	-0.4146
23	0	0.0011	0.0022	-0.0009	0.0045	-0.2500
24	0	-0.0465	0.0098	0.0251	0.0111	-0.1270
25	0	0.0582	0.0135	0.0147	-0.0088	0.2017
26	0	0.0011	-0.0016	-0.0165	-0.0154	-0.0037
27	0	-0.0275	-0.0053	0.0147	0.0045	0.2017
28	0	-0.0560	0.0060	0.0043	-0.0287	-0.1680
29	0	-0.0941	-0.0129	0.0460	0.0244	-0.1270
30	0	0.0011	-0.0091	-0.0217	0.0044	0.1194
31	0	0.0391	-0.0016	0.0251	-0.0420	-0.2500
32	0	0.0106	-0.0091	-0.0425	-0.0221	0.0373
33	0	-0.0179	0.0173	-0.0269	-0.0022	-0.0859
34	0	-0.0560	0.0400	-0.0165	-0.0088	0.2427
35	0	-0.0560	-0.0167	-0.0269	0.0310	0.0784
36	0	-0.0085	-0.0318	-0.0113	0.0310	-0.1270
37	0	0.0106	0.0211	0.0043	0.0177	0.1604
38	0	-0.0370	-0.0280	0.0095	-0.0354	0.4478
39	0	0.0677	-0.0205	0.0251	0.0310	0.0784
40	0	0.0011	-0.0129	0.0043	0.0244	0.1604
41	0	0.0106	-0.0280	0.0147	0.0177	-0.0859
42	0	0.0201	0.0173	0.0095	0.0111	-0.1682
43	0	0.0582	-0.0356	-0.0530	-0.0287	-0.0038
44	0	0.0486	0.0173	-0.0165	0.0044	-0.0038
45	0	-0.0370	-0.0054	-0.0217	0.0177	-0.0449
46	0	0.0011	0.0060	0.0147	0.0310	-0.0038
47	0	0.0011	-0.0054	0.0199	-0.0354	0.0372
48	0	0.0391	-0.0054	-0.0269	-0.0155	0.1604
49	0	0.0868	0.0098	-0.0009	0.0642	-0.2505
50	0	0.0010	0.0248	-0.0217	-0.0022	0.2017
51	0	-0.0466	-0.0054	-0.0217	-0.0089	0.1194
52	0	-0.0561	-0.0054	0.0095	0.0177	0.8174
53	0	-0.0275	0.0060	-0.0113	0.0575	-0.1272
54	0	-0.0275	0.0173	0.0303	-0.0354	0.2014
55	0	-0.0561	0.0022	0.0095	0.0443	0.2014
56	0	-0.0180	-0.0129	-0.0061	-0.0222	0.2837
