# x	y	u	g	r	i	z
0	0	0.1531	0.0546	-0.0154	0.0754	0.1002
1	0	-0.0086	0.0396	0.0002	0.1350	0.0179
2	0	0.0104	0.0546	0.0366	0.0224	-0.0645
3	0	0.0199	0.0208	-0.0102	0.1152	0.0590
4	0	-0.0371	0.0095	0.0054	0.0687	-0.0233
5	0	0.0485	0.0358	0.0210	0.0290	0.3472
6	0	0.0009	0.0283	0.0418	0.0820	0.4707
7	0	-0.0371	0.0019	-0.0102	0.0025	0.2236
8	0	-0.0752	0.0057	0.0158	0.0025	-0.1467
9	0	0.0485	0.0208	0.0574	0.0754	0.1001
10	0	-0.0086	0.0245	0.0418	0.0886	0.1414
11	0	-0.0942	0.0095	0.0366	0.0025	-0.1880
12	0	0.0485	0.0433	-0.0102	0.0687	-0.1056
13	0	0.0199	0.0170	0.0054	0.0555	-0.0233
14	0	0.0389	0.0095	0.0210	-0.0042	0.3057
15	0	-0.0181	-0.0093	0.0262	0.1218	-0.2290
16	0	0.0199	0.0095	0.0158	0.0290	0.0178
17	0	0.0294	0.0208	0.0054	0.0091	-0.0233
18	0	-0.0086	0.0396	0.0262	0.0886	-0.0233
19	0	-0.0276	0.0245	-0.0050	0.0489	-0.3115
20	0	-0.0181	0.0170	0.0210	0.0091	0.1001
21	0	-0.0181	0.0019	0.0054	0.0223	-0.1467
22	0	0.0294	-0.0319	0.0158	0.0356	-0.1467
23	0	-0.0562	0.0095	-0.0206	0.0488	0.2236
24	0	0.0389	0.0471	0.0158	-0.0241	-0.1880
25	0	0.0389	0.0245	0.0158	0.0290	0.3882
26	0	-0.0181	0.0396	-0.0050	0.0091	-0.0645
27	0	-0.0276	-0.0169	0.0417	-0.0108	0.1824
28	0	-0.0657	0.0019	0.0210	0.0488	-0.0233
29	0	-0.0086	0.0057	0.0314	0.0488	0.0178
30	0	0.0675	0.0207	0.0314	0.0555	0.1824
31	0	0.0580	0.0170	-0.0050	0.0886	-0.1880
32	0	-0.0466	-0.0018	0.0210	-0.0638	0.2236
33	0	0.0104	0.0282	0.0262	0.0223	0.2646
34	0	0.0009	0.0057	0.0158	-0.0175	0.2646
35	0	0.0580	-0.0131	-0.0050	-0.0307	0.3057
36	0	0.0770	0.0094	-0.0414	-0.0439	-0.1057
37	0	-0.0467	0.0358	0.0054	0.0290	-0.1880
38	0	0.1055	-0.0094	0.0002	0.0753	0.2646
39	0	0.0294	-0.0206	0.0158	0.0952	0.5527
40	0	0.0485	-0.0056	0.0106	0.0687	0.0178
41	0	-0.0372	0.0019	0.0054	0.0157	0.1824
42	0	0.0294	0.0019	0.0417	0.0024	-0.0646
43	0	0.0389	0.0057	0.0210	-0.0042	-0.0233
44	0	-0.0181	0.0207	-0.0466	0.0091	0.1414
45	0	-0.0657	-0.0094	0.0210	0.0091	-0.0646
46	0	0.0104	-0.0394	0.0314	0.0753	0.1001
47	0	0.0389	0.0094	0.0262	-0.0307	0.0590
48	0	-0.0467	0.0057	0.0157	0.0488	0.0590
49	0	0.0294	0.0169	0.0313	-0.0506	-0.1467
50	0	0.0961	0.0019	-0.0362	-0.0175	0.3472
51	0	0.0104	-0.0432	0.0002	0.0289	0.0178
52	0	0.0485	0.0132	0.0054	0.0488	0.0178
53	0	-0.0276	0.0169	-0.0362	0.0024	-0.1057
54	0	-0.0276	0.0094	-0.0050	-0.0042	0.2646
55	0	0.0104	0.0245	-0.0362	0.0024	-0.1057
56	0	0.0580	0.0169	0.0365	-0.0374	0.3057
57	0	0.0199	0.0057	0.0054	0.0289	0.0178
58	0	-0.0562	0.0094	0.0417	0.0555	0.1824
59	0	0.0485	-0.0018	-0.0102	0.0356	0.0178
60	0	0.0104	-0.0169	0.0054	-0.0506	0.3057
61	0	0.0485	0.0169	0.0105	-0.0042	0.0178
62	0	0.0199	0.0019	0.0417	-0.0108	-0.0645
63	0	0.0959	0.0094	0.0365	-0.0506	-0.0645
64	0	0.0864	-0.0094	0.0002	-0.0374	0.2236
65	0	-0.0086	-0.0056	-0.0050	0.0488	0.3062
66	0	0.0959	0.0094	0.0105	0.0157	0.0590
67	0	-0.0181	0.0019	-0.0050	-0.0042	-0.4351
68	0	0.0199	-0.0094	0.0469	-0.0175	-0.0233
69	0	-0.0181	-0.0056	-0.0154	0.0422	-0.1057
70	0	0.0675	-0.0169	-0.0310	0.0886	0.1414
71	0	-0.0181	0.0207	0.0157	0.0355	-0.5996
72	0	0.0009	0.0057	0.0209	-0.0175	0.1001
73	0	-0.1036	0.0244	0.0053	0.0422	-0.0233
74	0	0.0009	0.0057	-0.0310	-0.0175	-0.1057
75	0	0.0009	-0.0244	0.0157	0.0621	-0.0645
76	0	-0.0086	0.0319	0.0676	0.0687	-0.0233
77	0	-0.0657	0.0169	-0.0154	-0.0771	0.1001
78	0	-0.0657	0.0132	-0.0206	-0.0175	0.0590
79	0	0.1055	0.0169	0.0001	-0.0042	-0.2290
80	0	0.0769	-0.0131	0.0365	-0.0175	-0.3525
81	0	0.0579	0.0094	-0.0051	0.0355	0.1824
82	0	-0.0466	0.0057	-0.0258	-0.0241	0.1411
83	0	-0.0276	0.0132	-0.0154	0.0355	-0.1467
84	0	0.0864	0.0207	-0.0310	-0.0042	-0.0233
85	0	0.0294	0.0395	0.0469	-0.0109	0.4702
86	0	-0.0086	0.0207	-0.0206	0.0554	-0.0645
87	0	-0.0371	-0.0319	-0.0051	-0.0374	0.0590
88	0	-0.0561	-0.0169	0.0001	-0.0175	-0.1056
89	0	0.0199	-0.0056	-0.0206	0.0289	-0.2290
90	0	0.0009	0.0169	0.0053	-0.0308	-0.3110
91	0	-0.0181	-0.0169	0.0053	0.0886	0.0590
92	0	0.0579	-0.0357	0.0053	0.0090	0.0590
93	0	0.0104	-0.0131	0.0469	-0.0241	-0.1877
94	0	-0.0371	-0.0056	0.0365	0.0289	0.1411
95	0	-0.0751	0.0019	0.0157	-0.0042	-0.1056
96	0	0.0104	-0.0019	-0.0103	0.0355	0.2646
97	0	-0.0181	0.0169	0.0001	-0.0175	0.0590
98	0	0.0579	0.0056	0.0001	-0.0507	0.1001
99	0	0.0199	-0.0207	0.0209	-0.0241	-0.0645
100	0	-0.0181	-0.0244	0.0001	-0.0640	0.1001
101	0	-0.0466	-0.0131	-0.0154	0.0355	0.0590
102	0	0.0294	-0.0207	0.0105	0.0488	-0.0645
103	0	0.0579	0.0319	-0.0362	0.0223	-0.0233
104	0	0.0294	0.0169	-0.0103	-0.0175	-0.1056
105	0	0.0104	0.0169	0.0261	0.0488	0.2234
106	0	-0.0656	-0.0094	-0.0154	0.0090	-0.1056
107	0	0.0104	0.0169	0.0053	-0.0241	0.1824
108	0	-0.0561	0.0132	-0.0051	0.0355	-0.2290
109	0	-0.0751	0.0394	-0.0207	0.0819	0.2646
110	0	-0.0181	0.0094	-0.0207	0.0222	0.1414
111	0	0.0009	-0.0131	-0.0051	-0.0043	-0.0233
112	0	0.0009	-0.0207	-0.0051	-0.0441	0.1001
113	0	0.0104	0.0244	0.0209	0.1018	0.1001
114	0	-0.0181	0.0132	0.0001	0.0422	0.1824
115	0	0.0009	-0.0019	-0.0207	-0.0242	0.1001
116	0	-0.0466	0.0094	-0.0155	0.0488	-0.2290
117	0	-0.0276	0.0019	0.0468	0.0156	0.1414
118	0	0.0009	-0.0056	0.0312	0.0422	-0.0233
119	0	0.0199	0.0094	-0.0155	0.0687	0.0590
120	0	-0.0181	0.0056	0.0312	-0.0242	0.1414
121	0	-0.0086	0.0131	0.0001	0.0289	-0.1877
122	0	-0.0656	0.0131	-0.0414	0.0024	-0.1877
123	0	0.0199	-0.0019	-0.0207	0.0819	0.0590
124	0	0.0674	-0.0206	0.0572	0.0355	0.1824
125	0	-0.0086	-0.0019	0.0053	-0.0242	-0.0645
126	0	-0.0086	-0.0056	0.0624	0.0819	-0.0645
127	0	-0.0086	0.0056	0.0053	-0.0109	-0.1056
128	0	-0.0181	-0.0094	0.0260	0.0421	-0.0233
129	0	-0.0181	-0.0019	0.0001	0.0355	0.0179
130	0	0.0579	-0.0356	-0.0207	-0.0507	-0.3110
131	0	0.0009	0.0056	-0.0518	0.0024	-0.0233
132	0	-0.0276	-0.0319	0.0157	-0.0374	-0.3525
133	0	0.0199	-0.0019	-0.0051	0.0421	-0.0233
134	0	0.0009	0.0281	0.0260	0.0222	0.1824
135	0	-0.0656	0.0169	-0.0310	-0.0175	-0.1877
136	0	-0.0370	-0.0094	0.0260	0.0952	-0.0645
137	0	0.0388	0.0131	0.0105	-0.0374	0.1414
138	0	-0.0276	-0.0094	-0.0103	-0.0441	0.0179
139	0	-0.0276	0.0019	-0.0103	-0.0507	0.1824
140	0	-0.0276	-0.0131	-0.0103	0.0753	-0.1467
141	0	-0.0181	-0.0019	-0.0207	0.0421	-0.0233
142	0	0.0768	0.0244	-0.0258	0.0488	0.1414
143	0	-0.0181	0.0131	-0.0051	-0.0043	-0.0233
144	0	0.0104	-0.0019	-0.0103	0.0156	-0.1056
145	0	0.0199	-0.0019	-0.0207	0.0024	0.2646
146	0	-0.0181	-0.0094	-0.0051	0.0289	0.0179
147	0	0.0768	0.0094	-0.0207	0.0554	-0.0233
148	0	0.0483	0.0094	0.0364	0.0421	0.3057
149	0	0.0009	-0.0019	0.0105	0.0421	0.1001
150	0	0.0483	0.0356	0.0364	0.0620	0.0590
151	0	-0.0086	0.0131	-0.0051	-0.0308	0.1414
152	0	0.0009	0.0019	-0.0518	0.0024	-0.3525
153	0	0.0578	0.0206	-0.0622	0.0885	0.4702
154	0	-0.0656	-0.0056	0.0001	-0.0175	0.1001
155	0	0.0104	-0.0131	-0.0051	-0.0374	0.1824
156	0	0.0104	0.0019	-0.0051	0.0289	-0.1877
157	0	0.0483	0.0281	0.0001	0.0488	0.0590
158	0	0.0578	-0.0056	0.0208	-0.0374	0.0179
159	0	-0.0086	-0.0206	0.0312	0.0289	0.0590
160	0	-0.0466	0.0019	-0.0155	0.0222	-0.0233
161	0	-0.0276	0.0206	0.0157	-0.0308	0.0590
162	0	-0.0086	-0.0131	0.0208	0.0090	0.2236
163	0	0.0104	-0.0169	-0.0155	-0.0109	0.2236
164	0	0.0673	-0.0169	0.0053	-0.0175	0.0179
165	0	0.0009	0.0019	-0.0103	0.0355	0.1001
166	0	-0.0370	0.0131	0.0001	-0.0175	0.3057
167	0	0.0293	0.0056	0.0001	0.0819	-0.4346
168	0	0.0104	-0.0056	-0.0103	0.0024	0.1001
169	0	0.0293	0.0206	0.0001	0.0090	-0.0233
170	0	0.0293	-0.0169	-0.0155	0.0554	0.1824
171	0	0.0293	-0.0056	-0.0155	-0.0043	-0.0233
172	0	0.0293	0.0169	-0.0155	0.0952	-0.1877
173	0	-0.0181	0.0169	-0.0051	0.0819	0.0179
174	0	0.0483	-0.0094	0.0053	0.0687	0.0179
175	0	0.1147	0.0356	-0.0207	0.0024	-0.0643
176	0	0.0293	0.0019	-0.0155	-0.0241	0.1824
177	0	0.0388	-0.0019	0.0053	0.0090	0.3472
178	0	-0.0370	-0.0056	-0.0258	-0.0175	0.1414
179	0	0.0578	0.0356	-0.0103	-0.0175	0.3472
180	0	-0.0181	-0.0094	0.0157	0.0223	-0.1877
181	0	-0.0276	0.0169	0.0053	0.0090	0.1001
182	0	-0.0560	0.0019	0.0519	-0.0374	0.1002
183	0	-0.0560	-0.0169	-0.0310	0.0289	0.0590
184	0	0.0198	0.0319	-0.0207	0.0156	-0.3521
185	0	0.0293	0.0356	-0.0155	0.0156	0.2646
186	0	-0.0276	0.0094	0.0468	-0.0109	-0.1055
187	0	-0.0276	0.0094	0.0001	0.0621	0.0179
188	0	-0.0276	0.0019	0.0260	0.0024	-0.1877
189	0	-0.0276	-0.0131	-0.0258	0.0090	0.3472
190	0	0.0009	0.0094	0.0157	0.0090	-0.0643
191	0	-0.0466	-0.0056	0.0053	-0.0374	-0.0643
192	0	0.0293	0.0056	0.0208	-0.0042	-0.2288
193	0	-0.0181	0.0019	-0.0569	0.0223	0.3057
194	0	-0.0561	0.0319	-0.0258	-0.0441	0.0591
195	0	-0.0371	0.0169	0.0364	-0.0042	-0.2288
196	0	-0.0276	0.0094	0.0001	0.0621	0.1414
197	0	-0.0466	-0.0131	0.0208	0.0090	-0.0232
198	0	0.1147	0.0356	0.0416	0.0554	-0.1055
199	0	-0.0181	0.0056	0.0053	0.0223	-0.1877
200	0	0.0293	0.0019	-0.0103	-0.0308	-0.0643
201	0	-0.0276	0.0094	0.0053	-0.0507	0.3882
202	0	-0.0086	0.0244	-0.0621	-0.0042	-0.1465
203	0	-0.0371	-0.0281	0.0208	0.0157	-0.0643
204	0	0.0958	0.0244	0.0208	-0.0175	0.3467
205	0	-0.0086	-0.0281	-0.0155	0.0024	0.2236
206	0	-0.0561	0.0094	0.0105	-0.0374	0.1414
207	0	0.0009	0.0132	0.0260	-0.0175	0.2236
208	0	-0.0466	-0.0056	-0.0051	-0.0706	0.1414
209	0	-0.0086	-0.0019	-0.0258	-0.0109	0.3057
210	0	-0.0276	0.0244	-0.0103	-0.0175	-0.0232
211	0	0.0103	-0.0094	-0.0051	-0.0374	0.5117
212	0	0.0103	-0.0094	-0.0362	-0.0175	0.2236
213	0	-0.0371	0.0019	-0.0103	-0.0440	-0.4756
214	0	-0.0561	0.0394	-0.0414	0.0157	0.3882
215	0	0.0009	0.0169	0.0209	-0.0374	0.0591
216	0	0.0009	0.0094	0.0468	0.0024	0.2646
217	0	0.0009	-0.0168	0.0157	-0.0241	-0.3521
218	0	0.0673	-0.0131	-0.0051	0.0090	0.0180
219	0	0.0293	-0.0056	0.0209	-0.0109	0.3467
220	0	-0.0371	-0.0018	0.0261	0.0289	-0.0642
221	0	0.0388	-0.0094	0.0105	-0.0374	0.1414
222	0	-0.0181	0.0132	0.0364	0.0024	-0.1053
223	0	-0.0087	-0.0056	-0.0103	0.0753	-0.2288
224	0	0.0198	-0.0206	-0.0051	-0.0573	-0.2700
225	0	-0.0181	-0.0018	0.0209	-0.0109	-0.2288
226	0	-0.0657	0.0094	-0.0258	-0.0109	-0.4341
227	0	0.0483	0.0057	0.0312	-0.0175	0.2236
228	0	-0.0181	0.0057	-0.0362	0.0687	0.1414
229	0	0.0103	-0.0056	-0.0154	-0.0241	-0.0642
230	0	-0.0087	-0.0018	0.0312	-0.0042	0.2236
231	0	0.0388	0.0207	0.0675	-0.0573	-0.1465
232	0	0.0293	0.0094	-0.0102	-0.1038	-0.1053
233	0	-0.0846	-0.0056	-0.0258	0.0223	0.3057
234	0	-0.0276	0.0019	0.0001	-0.0374	0.1414
235	0	-0.0182	0.0132	-0.0051	0.1019	0.1824
236	0	-0.0087	0.0094	-0.0154	-0.0308	-0.0642
237	0	0.0008	0.0282	0.0261	0.0223	0.0180
238	0	-0.0371	0.0057	0.0364	-0.0109	0.2646
239	0	-0.0466	0.0019	0.0053	0.0687	-0.1875
240	0	-0.0276	-0.0168	-0.0102	0.0223	0.1002
241	0	0.0863	-0.0093	0.0157	-0.0109	-0.1465
242	0	0.0388	-0.0093	-0.0154	0.0289	0.1414
243	0	0.0008	0.0019	-0.0102	0.0422	0.1414
244	0	0.0198	0.0244	0.0053	-0.0241	0.1002
245	0	0.0103	0.0019	-0.0102	-0.0109	0.4702
246	0	-0.0087	-0.0056	0.0105	-0.0441	-0.3521
247	0	-0.0087	-0.0093	0.0261	-0.0573	-0.1053
248	0	-0.0182	-0.0018	0.0053	-0.0441	-0.3521
249	0	-0.0087	0.0094	0.0105	-0.0109	-0.3110
0	1	0.0104	0.0020	0.0522	-0.0108	-0.0643
1	1	0.0580	0.0057	-0.0309	0.0025	-0.0233
2	1	-0.0371	0.0057	-0.0154	-0.0373	0.1414
3	1	-0.0466	0.0132	0.0262	0.1284	-0.0645
4	1	0.0485	0.0358	0.0418	0.0621	0.2236
5	1	-0.0371	0.0095	0.0262	-0.0108	-0.0233
6	1	-0.0371	0.0170	0.0054	0.0555	0.1002
7	1	0.0675	0.0019	0.0106	0.0356	0.0179
8	1	-0.0276	0.0283	0.0314	0.0091	0.3062
9	1	-0.0086	0.0095	0.0417	0.0621	-0.0645
10	1	-0.0466	0.0358	0.0210	0.0025	-0.0233
11	1	-0.0466	0.0583	-0.0154	0.0290	0.1002
12	1	0.0009	-0.0319	0.0210	0.0820	0.1002
13	1	0.0580	0.0057	0.0210	-0.0042	-0.3525
14	1	-0.0371	-0.0169	0.0210	0.0621	0.1002
15	1	-0.0086	0.0283	-0.0361	0.0025	-0.1056
16	1	0.0294	0.0019	-0.0050	0.0025	0.1001
17	1	0.0104	-0.0018	0.0469	0.0621	-0.1056
18	1	-0.0276	0.0057	0.0002	-0.0506	-0.1056
19	1	0.0104	-0.0093	0.0522	0.0025	0.2236
20	1	0.0199	0.0207	0.0002	0.0025	0.0179
21	1	-0.0181	0.0208	0.0158	0.0754	-0.0645
22	1	-0.0086	0.0245	0.0054	-0.0240	0.0590
23	1	-0.0657	0.0132	0.0262	0.0223	0.1001
24	1	-0.0466	0.0019	-0.0361	0.0223	-0.1880
25	1	-0.0086	0.0094	0.0470	0.0025	0.0590
26	1	-0.0657	0.0057	0.0522	0.0489	0.2236
27	1	0.0770	-0.0018	0.0106	-0.0307	0.1001
28	1	0.0389	-0.0056	0.0158	0.0886	0.4292
29	1	-0.0657	0.0508	-0.0050	-0.0042	-0.2700
30	1	-0.0847	-0.0131	0.0366	0.0488	-0.1056
31	1	-0.0181	-0.0056	-0.0102	0.0687	0.2236
32	1	0.0389	-0.0056	-0.0050	0.0356	-0.3525
33	1	0.0294	0.0057	-0.0102	0.0555	-0.1056
34	1	0.0009	0.0019	-0.0154	0.0356	-0.5176
35	1	0.0675	0.0207	-0.0154	0.0356	0.2646
36	1	0.0104	0.0057	-0.0518	0.0820	0.3062
37	1	-0.0657	-0.0056	-0.0102	0.1218	0.0590
38	1	-0.0276	0.0282	0.0210	-0.0638	0.0590
39	1	0.0199	0.0132	0.0469	0.0422	-0.0233
40	1	0.0580	-0.0018	-0.0154	-0.0108	0.1414
41	1	-0.0181	0.0282	0.0210	-0.0042	-0.3936
42	1	-0.0466	0.0395	-0.0154	0.0223	0.1414
43	1	-0.0181	0.0320	0.0158	-0.0506	0.3062
44	1	-0.0467	0.0282	0.0106	0.0223	0.0178
45	1	0.1056	0.0395	-0.0362	0.0555	-0.1467
46	1	0.0770	0.0094	0.0106	-0.0307	0.2646
47	1	-0.0086	-0.0169	0.0002	0.0488	-0.0233
48	1	-0.0657	0.0057	0.0002	-0.0638	0.2236
49	1	0.0675	0.0019	0.0262	-0.0108	0.3062
50	1	-0.0562	0.0057	-0.0206	0.0488	0.1414
51	1	-0.0086	0.0019	0.0313	0.0223	-0.0645
52	1	0.0009	0.0132	0.0262	0.0091	-0.3115
53	1	-0.0181	-0.0244	0.0366	-0.0108	-0.1056
54	1	0.1150	0.0057	-0.0206	-0.0042	0.0178
55	1	-0.0942	0.0019	-0.0206	-0.0042	-0.1467
56	1	-0.0276	0.0132	-0.0310	0.0289	-0.1880
57	1	-0.0181	-0.0018	0.0157	-0.0241	0.1001
58	1	-0.0276	0.0019	0.0417	0.0223	-0.2705
59	1	-0.0657	-0.0169	0.0157	0.0422	0.0590
60	1	0.0389	0.0132	-0.0050	0.0223	-0.2290
61	1	-0.0276	-0.0131	-0.0206	-0.0175	0.2646
62	1	-0.0847	0.0094	0.0002	-0.0440	0.4292
63	1	0.0199	0.0019	0.0157	-0.0175	-0.2290
64	1	0.0769	0.0057	0.0365	0.0223	0.0590
65	1	0.0389	0.0244	-0.0414	0.0223	0.0590
66	1	0.0485	0.0282	-0.0154	0.0422	-0.0645
67	1	-0.1132	0.0169	-0.0258	0.0356	-0.1467
68	1	0.0485	0.0207	0.0365	-0.0638	-0.0233
69	1	-0.0847	0.0094	0.0365	0.0819	0.1824
70	1	-0.0466	0.0094	0.0261	0.0223	0.2646
71	1	0.0389	0.0019	-0.0102	-0.0042	0.1414
72	1	-0.0181	-0.0131	0.0053	0.0422	-0.0645
73	1	0.0769	-0.0056	0.0105	0.0488	-0.1880
74	1	0.0579	-0.0019	0.0209	0.0819	0.0590
75	1	-0.0181	-0.0206	0.0365	0.0422	0.0179
76	1	0.0959	0.0057	-0.0102	0.0687	-0.0233
77	1	0.0009	-0.0019	0.0105	0.0223	0.1824
78	1	-0.0276	0.0019	-0.0154	0.0422	0.0179
79	1	-0.0086	0.0169	0.0053	-0.0175	-0.0233
80	1	0.0104	0.0057	0.0624	0.0223	-0.5586
