# x	y	u	g	r	i	z
0	0	-0.0562	0.0472	0.0152	-0.0061	0.1753
1	0	-0.0562	-0.0132	0.0308	0.0006	-0.1127
2	0	-0.0182	-0.0056	-0.0108	0.0271	-0.3184
3	0	0.0008	-0.0019	-0.0265	-0.0194	-0.2361
4	0	0.0008	-0.0094	0.0048	0.0006	-0.0304
5	0	0.0577	0.0019	-0.0421	0.0139	-0.0715
6	0	0.1621	-0.0170	0.0308	0.0271	0.4219
7	0	0.0008	-0.0056	0.0152	0.0338	0.1343
8	0	0.0198	-0.0245	0.0048	-0.0260	0.1340
9	0	-0.0467	0.0132	0.0256	-0.0194	0.2988
10	0	-0.0562	-0.0207	0.0308	-0.0526	0.2988
11	0	0.0103	0.0019	0.0152	-0.0127	0.1343
12	0	0.0103	-0.0019	-0.0108	0.0338	0.1343
13	0	0.0293	0.0094	0.0360	0.0604	-0.2358
14	0	0.0103	0.0094	0.0152	0.0006	0.0109
15	0	0.0008	0.0019	-0.0265	0.0072	0.0109
16	0	0.0388	-0.0170	-0.0004	0.0338	-0.0302
17	0	0.0008	0.0057	-0.0161	0.0205	0.2578
18	0	0.0293	0.0094	-0.0057	0.0271	0.1753
19	0	-0.0087	0.0320	0.0099	-0.0327	-0.0713
20	0	0.0483	0.0019	0.0204	0.0670	0.2988
21	0	-0.0372	-0.0245	-0.0005	0.0271	0.0521
22	0	0.0198	-0.0056	-0.0265	0.0271	0.0110
23	0	0.0388	0.0057	0.0099	-0.0127	0.2988
24	0	0.0198	0.0132	-0.0109	-0.0061	-0.1123
25	0	0.0388	0.0094	-0.0265	-0.0392	0.4634
26	0	-0.0182	-0.0320	-0.0161	0.0537	-0.1123
27	0	0.0768	0.0283	-0.0109	-0.0127	-0.1122
28	0	0.0103	-0.0132	0.0099	0.0139	0.2166
29	0	-0.0752	0.0019	0.0152	-0.0327	-0.0712
30	0	0.0008	-0.0019	0.0099	-0.0725	-0.3589
31	0	-0.0277	-0.0283	-0.0473	-0.0193	0.0111
32	0	-0.0562	0.0057	-0.0161	-0.0526	0.2578
33	0	-0.0182	0.0019	0.0255	0.0072	0.0522
