# x	y	u	g	r	i	z
0	0	-0.0369	0.0472	0.0210	0.0150	0.0122
1	0	0.0485	0.0322	0.0106	0.0946	-0.0289
2	0	0.0485	0.0472	-0.0154	0.0018	0.0533
3	0	0.0010	0.0209	0.0262	0.0615	-0.1523
4	0	0.0105	0.0359	0.0106	0.0349	0.1355
5	0	-0.0179	-0.0129	0.0210	-0.0049	-0.0289
6	0	0.0579	0.0058	-0.0206	0.0217	0.1355
7	0	0.0485	-0.0092	-0.0206	0.0018	0.0123
8	0	0.0389	0.0209	-0.0258	0.0548	0.0533
9	0	0.0295	0.0171	0.0418	0.0150	0.0123
10	0	-0.0179	0.0096	-0.0258	-0.0115	-0.0289
11	0	-0.0179	0.0021	-0.0050	0.0283	-0.2754
12	0	-0.0179	0.0058	0.0054	0.1211	-0.0699
13	0	0.0010	-0.0204	0.0002	0.0416	-0.3579
14	0	0.0010	0.0209	0.0106	-0.0513	0.0534
15	0	-0.0653	0.0134	0.0054	0.0548	-0.2344
16	0	0.0485	0.0171	0.0054	0.0615	0.0123
17	0	0.0579	-0.0054	0.0106	0.0216	0.0123
18	0	0.0390	0.0134	0.0210	0.0216	0.2180
19	0	-0.0558	0.0284	0.0314	0.0548	0.1768
20	0	0.0200	-0.0092	0.0002	0.0349	-0.0699
21	0	-0.0558	0.0096	-0.0102	0.0216	0.0123
22	0	0.0580	0.0397	0.0054	0.0482	-0.1521
23	0	0.0674	0.0659	-0.0206	0.1012	-0.0288
24	0	0.0390	0.0434	0.0210	-0.0049	0.2180
25	0	-0.0464	0.0058	0.0158	-0.0049	0.0123
26	0	0.0390	0.0171	0.0054	0.0084	-0.2754
27	0	-0.0179	0.0208	-0.0050	0.0216	0.1768
28	0	0.0295	-0.0054	0.0054	0.0084	0.1357
29	0	-0.0369	0.0058	0.0210	0.0283	0.2593
30	0	0.0390	0.0171	0.0106	0.0681	0.0535
31	0	0.0295	-0.0054	0.0314	-0.0115	0.1357
32	0	-0.0274	-0.0017	0.0158	0.0283	0.1768
33	0	0.0390	0.0021	0.0002	0.0614	-0.0699
34	0	-0.0179	0.0171	0.0262	-0.0049	-0.2344
35	0	0.0105	-0.0092	-0.0050	0.0283	-0.1521
36	0	0.0200	-0.0205	0.0366	-0.0248	0.0535
37	0	-0.0654	0.0284	-0.0050	0.0216	0.0946
38	0	0.0105	0.0058	-0.0206	0.0017	0.0535
39	0	0.0295	0.0133	-0.0050	0.0547	-0.3579
40	0	0.1149	0.0058	-0.0050	0.0017	0.0946
41	0	0.0485	-0.0055	-0.0206	0.0547	0.0535
42	0	-0.0464	0.0058	-0.0154	-0.0248	0.1768
43	0	0.0390	0.0171	-0.0050	0.0216	-0.3169
44	0	0.0485	0.0208	-0.0050	-0.0116	0.1768
45	0	-0.0085	0.0321	0.0158	0.0150	-0.1934
46	0	-0.0179	0.0096	0.0158	0.0216	-0.1934
47	0	0.0010	0.0096	-0.0362	-0.0049	-0.0288
48	0	0.0864	0.0171	0.0054	0.0680	-0.1934
49	0	0.0580	-0.0243	0.0158	-0.0182	-0.1111
50	0	0.0485	0.0133	0.0158	0.0216	0.3413
51	0	-0.0559	0.0096	0.0521	-0.0248	0.0535
52	0	0.0010	-0.0130	0.0210	0.0547	-0.1521
53	0	-0.0179	0.0058	-0.0050	0.0150	0.1357
54	0	0.0105	0.0096	-0.0362	0.0017	-0.0699
55	0	0.0010	-0.0130	0.0210	0.0481	0.0124
56	0	0.0105	0.0096	-0.0050	0.1277	0.0946
57	0	0.0390	0.0096	0.0054	0.1144	-0.0699
58	0	0.0105	0.0020	0.0209	0.0282	-0.1111
59	0	0.0580	0.0133	-0.0258	0.0879	0.3003
60	0	-0.0369	-0.0092	0.0106	0.0149	-0.0699
61	0	0.0105	0.0020	0.0054	0.0282	-0.1111
62	0	0.0390	0.0096	-0.0154	-0.1044	0.1770
