# x	y	u	g	r	i	z
0	0	-0.0653	-0.0168	-0.0008	0.0180	-0.0017
1	0	0.0394	-0.0130	0.0097	-0.0219	-0.2480
2	0	0.0013	-0.0244	0.0096	-0.0086	-0.1249
3	0	-0.0272	0.0021	-0.0008	0.0180	0.3677
4	0	-0.0653	0.0134	-0.0424	-0.0020	-0.0427
5	0	-0.0272	0.0021	0.0201	0.0379	-0.1249
6	0	0.0298	-0.0017	-0.0164	-0.0551	0.2856
7	0	0.0298	0.0059	0.0253	0.0645	-0.0017
8	0	0.0203	-0.0055	0.0044	-0.0152	0.1215
9	0	-0.0272	-0.0206	0.0148	-0.0152	0.4087
10	0	0.0108	0.0096	0.0305	-0.0352	0.3267
11	0	0.0488	0.0096	0.0096	-0.0618	0.3267
12	0	0.0013	-0.0092	-0.0060	-0.0352	-0.4121
13	0	0.0203	0.0021	-0.0216	0.0313	-0.5762
14	0	-0.0367	-0.0206	-0.0112	0.0113	-0.2070
15	0	-0.0272	0.0134	0.0461	-0.0751	-0.2070
16	0	0.0203	-0.0470	-0.0216	0.0180	0.2856
17	0	-0.0272	-0.0092	-0.0164	-0.0352	-0.2480
18	0	-0.0557	0.0021	0.0044	-0.0618	0.0394
19	0	-0.0367	-0.0206	0.0044	0.0379	-0.0837
20	0	-0.0272	-0.0244	0.0044	-0.0219	-0.0427
21	0	0.0489	0.0134	-0.0216	-0.0219	-0.2891
22	0	0.0013	0.0172	0.0044	0.0180	-0.1658
23	0	0.0013	-0.0017	-0.0424	0.0047	0.1215
24	0	0.0108	-0.0168	0.0044	-0.0086	-0.1249
25	0	0.0013	0.0134	0.0096	0.0512	-0.0017
26	0	-0.0557	-0.0017	-0.0164	-0.0020	0.2446
27	0	-0.0082	-0.0130	-0.0112	-0.0219	-0.2480
28	0	0.0108	-0.0168	0.0356	-0.0086	0.4907
29	0	0.0489	-0.0357	-0.0268	0.0312	0.0804
30	0	0.0774	-0.0092	-0.0476	-0.0285	0.0804
31	0	-0.0177	-0.0055	-0.0320	-0.0219	0.1626
32	0	0.0108	-0.0206	0.0305	-0.0020	0.2856
33	0	0.0869	-0.0168	0.0356	-0.0485	-0.1660
34	0	0.0679	-0.0130	-0.0008	-0.0020	0.0394
35	0	-0.0462	0.0172	0.0408	0.0047	0.0394
36	0	-0.0462	-0.0168	-0.0320	-0.0086	-0.0017
37	0	-0.0367	-0.0092	0.0044	-0.0086	-0.1249
38	0	0.0488	-0.0168	0.0044	-0.0684	-0.3301
39	0	-0.1509	-0.0055	-0.0268	0.0180	0.0804
40	0	0.0583	0.0021	-0.0060	-0.0285	-0.4536
41	0	0.0108	0.0059	0.0096	0.0180	0.2446
42	0	-0.0367	0.0059	-0.0008	0.0379	-0.0839
43	0	-0.0272	0.0134	-0.0008	-0.0020	-0.2070
44	0	0.0583	0.0021	-0.0164	0.0246	0.0394
45	0	0.0013	-0.0395	-0.0216	-0.0020	-0.2891
46	0	-0.0557	0.0210	-0.0112	0.0246	0.1216
47	0	-0.0082	-0.0055	0.0148	0.0446	0.2449
48	0	0.0203	-0.0017	-0.0424	-0.0020	0.2856
49	0	0.0013	0.0021	0.0044	0.0047	-0.4121
50	0	-0.0082	-0.0092	-0.0268	-0.0219	0.1626
51	0	-0.0272	0.0323	-0.0216	0.0180	0.0394
52	0	0.0298	-0.0244	0.0252	-0.0219	-0.0017
53	0	0.0583	-0.0055	-0.0008	0.0379	0.3267
54	0	0.0013	-0.0055	0.0148	0.0246	-0.2480
55	0	-0.0747	-0.0357	-0.0424	0.0047	-0.2480
56	0	0.0679	-0.0055	-0.0112	0.0047	0.2856
57	0	-0.0082	0.0210	0.0044	0.0246	-0.0017
58	0	0.0203	-0.0017	-0.0372	0.0180	-0.1249
59	0	0.0298	0.0021	0.0044	0.0312	-0.0017
60	0	0.0393	0.0096	-0.0060	-0.0153	-0.3716
61	0	0.0203	0.0323	0.0461	0.0113	-0.0017
62	0	0.0203	0.0059	-0.0008	0.0047	0.6143
63	0	-0.0177	-0.0092	-0.0112	0.0446	-0.3716
64	0	0.0108	0.0436	0.0252	0.0712	0.2446
65	0	-0.0367	-0.0017	0.0096	0.0579	0.1626
66	0	0.0488	0.0210	0.0252	0.1443	0.0804
67	0	-0.0082	0.0399	-0.0008	0.0645	0.7783
68	0	0.0203	0.0663	-0.0268	0.1110	0.9434
69	0	0.0013	0.1494	-0.0216	0.0512	2.7500
70	0	-0.0177	0.3418	0.0148	0.0379	7.7188
71	0	-0.0462	0.6973	0.0252	0.0579	13.0156
72	0	-0.0082	1.1699	0.0096	-0.0152	8.7500
73	0	-0.0272	1.3164	0.0096	0.1641	3.7383
74	0	-0.0367	0.7988	-0.0060	0.0579	1.4355
75	0	0.0679	0.3193	0.0513	0.0645	0.2861
76	0	0.0963	0.1191	-0.0164	0.0180	0.3271
77	0	0.0298	0.0436	0.0200	0.1177	0.0804
78	0	0.0393	0.0172	0.0252	0.0312	-0.1250
79	0	0.0488	0.0096	-0.0164	-0.0020	-0.0017
80	0	0.0108	0.0096	0.0044	0.0180	0.3271
81	0	0.0393	-0.0055	0.0408	0.0113	-0.0839
82	0	-0.0177	-0.0017	0.0252	0.0379	-0.0017
83	0	-0.0177	0.0096	-0.0164	0.0578	-0.3716
84	0	-0.0652	-0.0092	0.0148	0.0180	-0.2070
85	0	0.0583	0.0096	0.0252	-0.0086	-0.3716
86	0	0.0583	-0.0244	0.0304	-0.0152	0.4502
87	0	0.0203	-0.0055	-0.0060	-0.0418	0.3271
88	0	-0.0272	-0.0130	0.0096	-0.0352	-0.0428
89	0	-0.0557	0.0096	0.0044	0.0180	-0.0839
90	0	-0.0082	0.0096	0.0304	0.0511	0.1626
91	0	0.0203	-0.0017	0.0096	0.0379	0.1216
92	0	0.0298	-0.0130	0.0096	-0.0418	0.2449
93	0	-0.0938	-0.0055	0.0304	0.0047	0.3271
94	0	-0.0177	-0.0093	-0.0164	0.0180	0.1216
95	0	0.0108	0.0021	0.0408	0.0246	0.0804
96	0	0.0298	0.0059	0.0148	0.0180	0.1626
97	0	0.0013	0.0134	-0.0164	0.0113	-0.0428
98	0	0.0203	-0.0130	0.0565	-0.0219	-0.0428
99	0	-0.0082	0.0096	-0.0008	-0.0418	0.0804
100	0	0.0108	-0.0017	-0.0112	-0.0285	-0.0840
101	0	0.0013	0.0021	0.0200	-0.0285	0.1626
102	0	-0.0177	-0.0357	-0.0112	0.0047	0.0394
103	0	0.0298	-0.0017	0.0356	0.0246	-0.0017
104	0	-0.0177	-0.0168	0.0304	0.0180	-0.0840
105	0	0.0108	0.0021	-0.0216	0.0778	-0.2073
106	0	0.0013	-0.0130	-0.0060	-0.0152	-0.2483
107	0	-0.0082	-0.0093	-0.0008	0.0446	-0.0840
108	0	-0.0177	0.0172	-0.0008	-0.0086	-0.1250
109	0	-0.0272	0.0210	-0.0320	-0.0086	-0.3306
110	0	0.0583	0.0096	-0.0060	0.0113	-0.2896
111	0	-0.0177	0.0247	-0.0216	0.0578	0.2449
